ccp_mapping,source_name,pollutant,year,value,units
Agriculture,Agriculture - stationary combustion,CO2,2017,0.030216028156618648,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2018,0.0313444738439183,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,1990,8.82452378367605e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,1995,7.727818733059049e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,1998,6.069344696194478e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,1999,5.822764934847783e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2000,5.92923467616694e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2001,5.801658006555815e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2002,5.967786297664215e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2003,6.079871654605265e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2004,6.590733003936642e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2005,6.946179987146582e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2006,5.966453478002575e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2007,5.636328915523231e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2008,7.149422925366514e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2009,5.578327672273751e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2010,8.088958004456112e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2011,6.668098824502126e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2012,7.58624839964374e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2013,0.001150014318359997,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2014,0.0016420981582858118,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2015,0.003069681269687636,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2016,0.002812596937066854,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2017,0.002752220706288927,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CH4,2018,0.004208478996308161,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,1990,1.8149019330678274e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,1995,1.957883476466243e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,1998,1.402731851550296e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,1999,1.5023611584367722e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2000,1.027970800816771e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2001,1.0968658940643721e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2002,1.054072654390488e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2003,1.0747547601381754e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2004,1.1103162932541242e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2005,1.1266235145197742e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2006,1.0586612742889684e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2007,1.0347591439776121e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2008,1.271796036598819e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2009,1.0010400276712391e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2010,1.390686700648665e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2011,0.00011950288254976297,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2012,1.3334117929762282e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2013,1.982902804525529e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2014,2.7731064461960727e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2015,5.043931749873907e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2016,4.638091493875002e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2017,4.54203364485542e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,N2O,2018,6.863113499136069e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,1990,0.8100088443128188,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,1995,0.8100088443128188,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,1998,0.811814272758623,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,1999,0.7957787497872729,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2000,0.7724240644021589,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2001,0.7591749353156139,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2002,0.7567156519739678,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2003,0.7506822794868828,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2004,0.7207583963323057,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2005,0.7282501702165082,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2006,0.6926445687606003,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2007,0.6583092853810701,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2008,0.6421514846234809,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2009,0.6562073094241506,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2010,0.6608202932880551,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2011,0.6693671278580068,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2012,0.6896266603995319,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2013,0.6813290168820005,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2014,0.6854775494021382,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2015,0.7137630368870483,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2016,0.754018964753131,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2017,0.7617303661094668,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CO2,2018,0.760148830397875,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,1990,0.0010398760845465654,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,1995,0.0010398760845465654,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,1998,0.0010409923735983054,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,1999,0.0010205044280423355,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2000,9.906650817670724e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2001,9.737372000962244e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2002,9.705950722529124e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2003,9.628864738333194e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2004,9.237923674220594e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2005,9.350302862317651e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2006,8.886646875521812e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2007,8.440451113826246e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2008,8.231548417568081e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2009,8.391253939037161e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2010,8.438594958309223e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2011,8.54804467386965e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2012,8.597009555957456e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2013,8.490934531370742e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2014,8.49043927574735e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2015,8.740771835448069e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2016,9.06910596779681e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2017,9.128651401303097e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,CH4,2018,9.106025262192777e-4,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,1990,0.00998245275506575,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,1995,0.00998245275506575,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,1998,0.00999320831609082,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,1999,0.009795804831426811,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2000,0.009508299628977842,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2001,0.00934519772983055,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2002,0.00931492300151115,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2003,0.009240649854613831,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2004,0.008872372253077396,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2005,0.008964386883116505,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2006,0.008526199351969079,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2007,0.008103577342140438,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2008,0.007904424355135725,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2009,0.008077833470177908,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2010,0.008134476517472327,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2011,0.008239696450042935,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2012,0.008489032784729929,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2013,0.00838698379546228,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2014,0.008437775251581858,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2015,0.008785828293573758,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2016,0.009281799008741497,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2017,0.00937593074901349,megatonnes of co2 equivelant
Agriculture,Agriculture - mobile machinery,N2O,2018,0.009356710138780153,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,1990,0.00135152364729461,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,1995,0.00167279534288271,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,1998,0.0010821391959283798,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,1999,0.00107552834348172,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2000,8.81986034895518e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2001,8.2674749516058e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2002,8.65772089376445e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2003,0.0013244067029060799,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2004,0.00125920380469716,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2005,3.59823343649783e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2006,3.9520907265391705e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2007,3.5189470616241197e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2008,1.50127562662593e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2009,1.56780340164492e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2010,2.6367834561518897e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2011,2.20094950864307e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2012,1.09354473772108e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2013,1.25578953118341e-4,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2014,8.49704209864162e-5,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2015,6.43273376395453e-5,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2016,5.45166958516192e-5,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2017,5.63470367546665e-5,megatonnes of co2 equivelant
Agriculture,Agricultural engines,CO2,2018,1.7480003735505e-5,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1990,0.5961716279421749,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1995,0.5675734217369249,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1998,0.556649281246005,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1999,0.5561276324231199,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2000,0.541759891649633,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2001,0.530269906085328,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2002,0.546914461535797,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2003,0.55563275607838,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2004,0.551021685072532,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2005,0.515030785655737,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2006,0.5168517323002499,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2007,0.5245435660083679,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2008,0.502207655882638,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2009,0.489252189966098,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2010,0.49062506433819497,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2011,0.485122085577037,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2012,0.489589791759085,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2013,0.486909315579162,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2014,0.5086263584969221,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2015,0.52479139602004,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2016,0.52051621853181,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2017,0.5200838166657149,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2018,0.520945445304555,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1990,2.6862326107013077,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1995,2.6741844579608656,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1998,2.713061933548731,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1999,2.67017960517409,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2000,2.6567503094692873,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2001,2.489093040312649,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2002,2.515533854592531,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2003,2.521553798994957,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2004,2.5450104462542806,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2005,2.6298583102191717,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2006,2.5850293101378115,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2007,2.538518071391078,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2008,2.461017011965832,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2009,2.4167672332564343,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2010,2.4301921006589238,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2011,2.401656096580624,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2012,2.364208570756572,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2013,2.3105904047565007,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2014,2.2912598219517006,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2015,2.290062542556157,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2016,2.2805844651534932,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2017,2.227925103645858,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2018,2.189910617785229,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1990,1.132429045975,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1995,1.0797404935500001,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1998,1.1211227050249999,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1999,1.10407696025,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2000,1.0872733238999999,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2001,1.0010518852249999,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2002,0.9848155386999999,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2003,0.977262698925,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2004,0.98013664745,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2005,0.9762342609749999,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2006,0.9012881162,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2007,0.9461358957,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2008,0.8546079539,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2009,0.85780958735,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2010,0.881233536975,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2011,0.9248838108,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2012,0.913709368025,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2013,0.85240523475,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2014,0.8826509931250001,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2015,0.904624446875,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2016,0.886435608975,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2017,0.90933753315,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2018,0.8613928048749999,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1990,0.016940887499999998,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1995,0.020930512499999998,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1998,0.0251289375,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1999,0.020573925,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2000,0.02092875,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2001,0.022367175000000003,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2002,0.01973535,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2003,0.0183096,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2004,0.0176139,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2005,0.017587949999999998,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2006,0.017389687499999997,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2007,0.0171250875,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2008,0.0163463625,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2009,0.014851724988375,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2010,0.015401325000000002,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2011,0.0146248125,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2012,0.013628962499999998,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2013,0.01154385,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2014,0.011861175,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2015,0.01191555,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2016,0.012382724999999999,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2017,0.0122190375,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2018,0.0118776,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1990,0.030609875,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1995,0.029426,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1998,0.039986625000000005,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,1999,0.0398935892857143,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2000,0.039392678571428495,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2001,0.039983642857142794,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2002,0.0401066071428572,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2003,0.0398846964285715,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2004,0.0400240357142857,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2005,0.04027325,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2006,0.039728725000000006,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2007,0.039460699999999994,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2008,0.03937005,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2009,0.0390784,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2010,0.039088375,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2011,0.03870919999999999,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2012,0.038467774999999996,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2013,0.03823035,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2014,0.038365675,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2015,0.038195875000000004,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2016,0.0377532,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2017,0.03779495,megatonnes of co2 equivelant
Agriculture,Enteric,CH4,2018,0.038604324999999995,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,1990,0.0049462040757757,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,1995,0.0044392534446702995,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,1998,0.0041558043264862,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,1999,0.00406756620785295,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2000,0.00387916528282387,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2001,0.00369372846674043,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2002,0.00365803512909278,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2003,0.0035610928823884497,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2004,0.0033543271921859003,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2005,0.0028583658544835,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2006,0.0027309918670641,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2007,0.00263005887963182,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2008,0.00237292482482433,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2009,0.0021853831042696,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2010,0.00207898454172342,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2011,0.00194414308386815,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2012,0.00184852500691754,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2013,0.00180066244972906,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2014,0.0019046212765936,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2015,0.0019619839761065,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2016,0.00193736795077041,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2017,0.0019451409725486,megatonnes of co2 equivelant
Agriculture,Excreta,CH4,2018,0.00194836350921446,megatonnes of co2 equivelant
Agriculture,Managed Manure,CH4,1990,0.122032503166447,megatonnes of co2 equivelant
Agriculture,Managed Manure,CH4,1995,0.124309642368323,megatonnes of co2 equivelant
Agriculture,Managed Manure,CH4,1998,0.127836385111776,megatonnes of co2 equivelant
Agriculture,Managed Manure,CH4,1999,0.13009137291654202,megatonnes of co2 equivelant
Agriculture,Managed Manure,CH4,2000,0.12837276341520298,megatonnes of co2 equivelant
Agriculture,Managed Manure,CH4,2001,0.129791019617295,megatonnes of co2 equivelant
Agriculture,Managed Manure,CH4,2002,0.13756430292126398,megatonnes of co2 equivelant
Agriculture,Managed Manure,CH4,2003,0.143764903101019,megatonnes of co2 equivelant
Agriculture,Managed Manure,CH4,2004,0.146514995385928,megatonnes of co2 equivelant
Agriculture,Managed Manure,CH4,2005,0.141573911687899,megatonnes of co2 equivelant
Agriculture,Managed Manure,CH4,2006,0.14408065789358498,megatonnes of co2 equivelant
